physical,mental,interactional,social,interactive,intended,transitive
0821:論じる,0,1,1,1,1,1,1
0822:出席する,1,1,1,1,1,1,1
0832:入院する,1,1,1,1,1,1,1
0838:押し付ける,1,1,1,1,1,1,1
0842:傾ける,1,1,1,0,0,1,1
0845:位置する,1,0,0,0,0,0,0
0847:逃れる,1,1,1,1,1,1,1
0848:漏らす,1,1,1,1,0,1,1
0865:稼ぐ,1,1,1,1,1,1,1
0869:覗く,1,1,1,1,1,1,1
0870:向上する,1,1,1,1,1,1,0
0872:スタートする,1,1,1,0,0,1,0
0877:削る,1,1,1,1,1,1,1
0879:似合う,0,1,1,1,0,0,0
0886:承知する,0,1,1,1,1,1,1
0889:名づける,0,1,1,1,1,1,1
0893:誕生する,1,1,1,1,1,0,0
0900:振り向く,1,1,1,1,1,1,1
0905:納める,1,1,1,1,1,1,1
0908:鳴らす,1,1,1,1,0,1,1
0913:潰す,1,1,1,0,0,1,1
0919:放置する,1,1,1,1,1,1,1
0920:誇る,1,1,1,1,1,1,1
0921:整う,1,1,1,1,1,1,0
0922:好く,1,1,1,1,1,1,1
0924:余る,1,1,1,1,1,0,0
0925:生ずる,1,0,1,1,1,0,0
0929:下りる,1,1,1,1,1,1,0
0935:乾く,1,0,1,0,0,0,0
0939:飽きる,0,1,1,1,1,0,0
0940:悪化する,1,1,1,1,1,0,0
0946:廃止する,0,1,1,1,1,1,1
0949:応援する,1,1,1,1,1,1,1
0950:開放する,1,1,1,1,1,1,1
0951:機能する,1,1,1,1,0,1,0
0955:依存する*,1,1,1,1,1,1,1
0956:思い込む,0,1,1,0,0,1,0
0958:習う,1,1,1,1,1,1,1
0961:ずれる,1,1,1,0,0,0,0
0966:取り除く,1,1,1,1,0,1,1
0967:見回す,1,1,1,1,1,1,1
0971:準備する*,1,1,1,1,1,1,1
0975:仕掛ける,1,1,1,1,1,1,1
0980:支持する,0,1,1,1,1,1,1
0985:議論する,1,1,1,1,1,1,1
0988:挑戦する,1,1,1,1,1,1,1
0992:所有する,1,1,1,1,1,1,1
0996:遭う,1,1,1,1,1,0,0
0998:舞う,1,1,1,1,1,1,0
1001:振り込む,1,1,1,1,1,1,1
1005:曲げる,1,1,1,0,0,1,1
1006:捧げる,1,1,1,1,1,1,1
1010:囁く,1,1,1,1,1,1,0
1018:飲み込む,1,1,1,0,1,1,1
1021:ためらう,0,1,1,1,1,1,1
1025:普及する,1,1,1,1,1,1,0
1031:刺激する,1,1,1,1,1,1,1
1036:放送する,1,1,1,1,1,1,1
1048:継ぐ,1,1,1,1,1,1,1
1049:乗り出す,1,1,1,1,1,1,0
1055:冷やす,1,1,1,0,0,1,1
1063:見送る,1,1,1,1,1,1,1
1065:施行する,1,1,1,1,1,1,1
1067:駆けつける,1,1,1,1,1,1,1
1073:持ち出す,1,1,1,1,1,1,1
1074:鳴く,1,1,1,0,0,1,0
1077:供する,1,1,1,1,1,1,1
1079:争う,1,1,1,1,1,1,1
1083:どなる,1,1,1,1,1,1,1
1091:にらむ,1,1,1,1,1,1,1
1097:知り合う*,1,1,1,1,1,1,0
1098:定義する,1,1,1,1,1,1,1
1103:謝る,1,1,1,1,1,1,1
1105:妊娠する,1,1,1,1,1,1,1
1111:引用する,1,1,1,1,1,1,1
1116:締結する,0,1,1,1,1,1,1
1130:記す,1,1,1,1,1,1,1
1137:嫌がる*,0,1,1,1,1,1,1
1140:聞かす,1,1,1,1,1,1,1
1144:計画する,0,1,1,1,1,1,1
1146:感染する*,1,1,1,1,1,1,1
1148:携わる,0,1,1,1,1,1,1
